,track,pianist,duration
0,pijama/monkt-sweetandlovelytake1-unaccompanied-xxxx-gsz3i0ac,18,194.55729166666666
1,pijama/cowells-softlyasinamorningsunrise-unaccompanied-xxxx-pj48uv6h,16,162.5
2,pijama/waltonc-withoutasong-unaccompanied-xxxx-tg2eyywc,4,237.06119791666666
3,pijama/alleng-nomoremr-unaccompanied-xxxx-ysf0flzi,7,512.5
4,jtd/tynerm-tranelike-clarkesfostera-1998-f61d311f,14,139.95963541666666
5,pijama/wilsont-thelittlethingsthatmeanso-unaccompanied-xxxx-uc6vekr7,17,146.98958333333331
6,pijama/hicksj-steadfast-unaccompanied-xxxx-7b11cgbz,9,404.9114583333333
7,pijama/ibrahima-sothoblue-unaccompanied-xxxx-ccvw5b07,0,219.98958333333331
8,pijama/coreac-childrenssong1-unaccompanied-xxxx-3g91g5qr,5,102.88932291666666
9,jtd/hicksj-sonnyscrib-dolphindbrooksc-2001-11f31642,9,109.98958333333333
10,pijama/drewk-yesterdays-unaccompanied-xxxx-b6mlhk1w,13,332.5
11,jtd/flanagant-ohladybegood-washingtonpnashl-1993-225bd06b,19,159.98958333333331
12,pijama/tynerm-willowweepforme-unaccompanied-xxxx-d4lr3mqz,14,332.5091145833333
13,jtd/evansb-whocares-israelscbunkerl-1961-7ffcaefd,2,79.98958333333333
14,jtd/hollandd-yesterdays-joneshhigginsb-1989-126bab92,8,109.98958333333333
15,jtd/petersono-lildarlin-orstednhannaj-1974-3a4f90c3,15,69.86979166666666
16,jtd/evansb-gloriasstep-gomezemorellm-1974-b0963cd3,2,109.98958333333333
17,pijama/petersono-whispering-unaccompanied-xxxx-4atrlyuw,15,107.87890625
18,pijama/hicksj-allofyourecordedlive-unaccompanied-xxxx-plrlx40u,9,117.5
19,jtd/evansb-youregonnahearfromme-gomezejoep-1966-f476cd37,2,99.98958333333333
20,jtd/flanagant-myshininghour-mrazgkayc-1977-8ae917cc,19,112.5
21,pijama/jamala-ishouldcare-unaccompanied-xxxx-3r250fn1,1,199.6171875
22,jtd/evansb-34skidoo-gomezemorellm-1973-a47c25f3,2,109.98958333333333
23,pijama/jonesh-thejitterbugwaltzinstrumental-unaccompanied-xxxx-q8wrraio,8,216.859375
24,pijama/mehldaub-vi-unaccompanied-xxxx-wmay0seb,3,105.86848958333333
25,pijama/waltonc-bookersbossa-unaccompanied-xxxx-ybwty3kl,4,329.109375
26,jtd/evansb-whocaniturnto-gomezedejohnettej-1967-d0344842,2,69.98958333333333
27,jtd/mancej-iletasonggo-bettskwilliamsj-1995-d70c3a5e,10,208.80989583333331
28,jtd/evansb-seesaw-gomezemorellm-1975-edd779ef,2,98.859375
29,jtd/drewk-impressions-rstednqueena-1988-d3d62740,13,189.98958333333331
30,jtd/mancej-whenlightsarelow-cleyndertabrowns-2000-359ed779,10,138.71875
31,jtd/mancej-worksong-thompsondalleynea-1997-0e328835,10,269.8098958333333
32,pijama/cowells-bigfoota-unaccompanied-xxxx-3z07zevj,16,208.64973958333331
33,pijama/tynerm-ishouldcare-unaccompanied-xxxx-8zh4qxoa,14,238.51953125
34,pijama/mehldaub-x-unaccompanied-xxxx-bpnhdowm,3,174.43880208333331
35,pijama/ibrahima-blueboleroblueboleroiii-unaccompanied-xxxx-wgkrk16e,0,79.79947916666666
36,jtd/brownr-mightycoolpenthouse-joneshthigpene-1956-43d83766,8,67.76953125
37,jtd/jamala-jimlovessue-crosbyiperkinsw-1959-70df27c6,1,99.98958333333333
38,pijama/jonesh-preludetoakiss-unaccompanied-xxxx-si8mokv4,8,236.97916666666666
39,jtd/petersono-scrapplefromtheapple-brownrthigpene-1961-257068ec,15,168.90885416666666
40,pijama/barronk-balladforbennycarter-unaccompanied-xxxx-cdqrbphs,12,532.5
41,pijama/ibrahima-pula-unaccompanied-xxxx-1vg3h1de,0,46.119791666666664
42,pijama/barronk-thestarcrossedlovers-unaccompanied-xxxx-crc0z8sh,12,519.4596354166666
43,pijama/wilsont-ladybegood-unaccompanied-xxxx-6tlpw9bq,17,153.40885416666666
44,jtd/evansb-makesomeonehappy-israelscwisea-1966-1f814ca8,2,89.98958333333333
45,jtd/evansb-waltzfordebby-gomezemorellm-1973-a0501c38,2,49.98958333333333
46,jtd/evansb-somedaymyprincewillcome-gomezezigmunde-1975-056f18dc,2,49.98958333333333
47,jtd/evansb-lettertoevan-johnsonmlabarberaj-1980-45b5ef54,2,89.98958333333333
48,pijama/petersono-sweetgeorgiabrownlive-unaccompanied-xxxx-ka2uct36,15,271.20963541666663
49,jtd/mancej-idontcare-bettskwilliamsj-1997-9b8e7b01,10,189.98958333333331
50,pijama/coreac-bagatelle4-unaccompanied-xxxx-9tm4ucsl,5,306.7421875
51,pijama/wilsont-whyshouldnt-unaccompanied-xxxx-7l569jo9,17,141.66927083333331
52,jtd/jonesh-lullabyoftheleaves-hintonmrosengardenb-1977-5b51d182,8,69.98958333333333
53,jtd/jamala-ongreendolphinstreet-crosbyiperkinsw-1960-e395ced7,1,104.63932291666666
54,jtd/evansb-emily-gomezemorellm-1969-baa330b7,2,39.98958333333333
55,pijama/alleng-dancingmysticpoetsatmidnight-unaccompanied-xxxx-3h5svr7o,7,259.0989583333333
56,pijama/ibrahima-africandawn-unaccompanied-xxxx-jmv6zr2p,0,34.859375
57,pijama/wilsont-sweetgeorgiabrown-unaccompanied-xxxx-yylqrky2,17,177.72916666666666
58,jtd/evansb-theopener-gomezezigmunde-1974-b7377fd1,2,39.98958333333333
59,pijama/mehldaub-thisherelive-unaccompanied-xxxx-gwfdsmwi,3,477.63932291666663
60,jtd/flanagant-loveyoumadly-washingtonpnashl-1993-eb062e35,19,99.98958333333333
61,jtd/jonesh-illrememberapril-hintonmrosengardenb-1977-c11a6c68,8,122.5
62,pijama/ibrahima-oceantheriver-unaccompanied-xxxx-rw7kc1or,0,83.25
63,jtd/petersono-thiscouldbethestart-brownrthigpene-1959-100456a9,15,78.0
64,jtd/evansb-imgettingsentimentaloveryou-gomezemannes-1966-03f514ac,2,99.98958333333333
65,pijama/jonesh-immorethansatisfiedinstrumental-unaccompanied-xxxx-s4ddyqwp,8,201.4296875
66,pijama/jonesh-howcomeyoudomelike-unaccompanied-xxxx-hdizkukm,8,305.5755208333333
67,pijama/coreac-childrenssongno-unaccompanied-xxxx-tlrbe3pa,5,452.9296875
68,pijama/petersono-ifishouldloseyou-unaccompanied-xxxx-0zsyyw9t,15,316.5130208333333
69,jtd/evansb-34skidoo-gomezemorellm-1973-2ff369e4,2,109.50911458333333
